,0
0,A Bad Beginning Makes A Bad Ending
1,A Bad Corn Promise Is Better Than A Good Lawsuit
2,A Bad Workman Quarrels With His Tools
3,A Bargain Is A Bargain
4,A Beggar Can Never Be Bankrupt
5,A Bird In The Hand Is Worth Two In The Bush
6,A Bird May Be Known By Its Song
7,A Black Hen Lays A White Egg
8,A Blind Leader Of The Blind
9,A Blind Man Would Be Glad To See
10,"A Broken Friendship May Be Soldered, But Will Never Be Sound"
11,A Burden Of One's Own Choice Is Not Felt
12,A Burnt Child Dreads The Fire
13,A Cat In Gloves Catches No Mice
14,A City That Parleys Is Half Gotten
15,A Civil Denial Is Better Than A Rude Grant
16,A Clean Fast Is Better Than A Dirty Breakfast
17,A Clean Hand Wants No Washing
18,A Clear Conscience Laughs At False Accusations
19,A Close Mouth Catches No Flies
20,A Cock Is Valiant On His Own Dunghill
21,A Cracked Bell Can Never Sound Well
22,A Creaking Door Hangs Long On Its Hinges
23,A Curst Cow Has Short Horns
24,A Danger Foreseen Is Half Avoided
25,A Drop In The Bucket
26,A Drowning Man Will Catch At A Straw
27,A Fair Face May Hide A Foul Heart
28,A Fault Confessed Is Half Redressed
29,A Fly In The Ointment
30,A Fool Always Rushes To The Fore
31,A Fool And His Money Are Soon Parted
32,A Fool At Forty Is A Fool Indeed
33,A Fool May Ask More Questions In An Hour Than A Wise Man Can Answer In Seven Years
34,A Fool May Throw A Stone Into A Well Which A Hundred Wise Men Cannot Pull Out
35,A Fool's Tongue Runs Before His Wit
36,A Forced Kindness Deserves No Thanks
37,A Foul Morn May Turn To A Fair Day
38,A Fox Is Not Taken Twice In The Same Snare
39,A Friend In Need Is A Friend Indeed
40,A Friend Is Never Known Till Needed
41,A Friend To All Is A Friend To None
42,A Friend's Frown Is Better Than A Foe's Smile
43,A Good Anvil Does Not Fear The Hammer
44,A Good Beginning Is Half The Battle
45,A Good Beginning Makes A Good Ending
46,A Good Deed Is Never Lost
47,A Good Dog Deserves A Good Bone
48,A Good Example Is The Best Sermon
49,A Good Face Is A Letter Of Recommendation
50,A Good Jack Makes A Good Jill
51,A Good Marksman May Miss
52,A Good Name Is Better Than Riches
53,A Good Name Is Sooner Lost Than Won
54,A Good Name Keeps Its Lustre In The Dark
55,A Good Wife Makes A Good Husband
56,A Great Dowry Is A Bed Full Of Brambles
57,A Great Fortune Is A Great Slavery
58,A Great Ship Asks Deep Waters
59,A Guilty Conscience Needs No Accuser
60,A Hard Nut To Crack
61,A Heavy Purse Makes A Light Heart
62,A Hedge Between Keeps Friendship Green
63,"A Honey Tongue, A Heart Of Gall"
64,A Hungry Belly Has No Ears
65,A Hungry Man Is An Angry Man
66,A Jack Of All Trades Is Master Of None
67,A Joke Never Gains An Enemy But Often Loses A Friend
68,A Lawyer Never Goes To Law Himself
69,A Lazy Sheep Thinks Its Wool Heavy
70,A Liar Is Not Believed When He Speaks The Truth
71,A Lie Begets A Lie
72,A Light Purse Is A Heavy Curse
73,A Little Body Often Harbours A Great Soul
74,A Little Fire Is Quickly Trodden Out
75,A Man Can Die But Once
76,A Man Can Do No More Than He Can
77,A Man Is Known By The Company He Keeps
78,A Man Of Words And Not Of Deeds Is Like A Garden Full Of Weeds
79,A Miserly Father Makes A Prodigal Son
80,A Miss Is As Good As A Mile
81,A New Broom Sweeps Clean
82,A Nod From A Lord Is A Breakfast For A Fool
83,A Penny Saved Is A Penny Gained
84,A Penny Soul Never Came To Twopence
85,A Quiet Conscience Sleeps In Thunder
86,A Rolling Stone Gathers No Moss
